Time;Module;Class;Name;Value;Unit
18:16:00;hx711:031;D;HX711 Value;603985;raw
18:16:01;hx711:031;D;HX711 Value;603963;raw
18:16:02;hx711:031;D;HX711 Value;603997;raw
18:16:03;hx711:031;D;HX711 Value;604019;raw
18:16:04;hx711:031;D;HX711 Value;604041;raw
18:16:05;hx711:031;D;HX711 Value;604031;raw
18:16:06;hx711:031;D;HX711 Value;604069;raw
18:16:07;hx711:031;D;HX711 Value;604038;raw
18:16:08;hx711:031;D;HX711 Value;604031;raw
18:16:09;hx711:031;D;HX711 Value;604042;raw
18:16:10;hx711:031;D;HX711 Value;604053;raw
18:16:11;hx711:031;D;HX711 Value;604120;raw
18:16:12;hx711:031;D;HX711 Value;604107;raw
18:16:13;hx711:031;D;HX711 Value;604138;raw
18:16:14;hx711:031;D;HX711 Value;604161;raw
18:16:15;hx711:031;D;HX711 Value;604122;raw
18:16:16;hx711:031;D;HX711 Value;604131;raw
18:16:17;hx711:031;D;HX711 Value;604158;raw
18:16:18;hx711:031;D;HX711 Value;604168;raw
18:16:19;hx711:031;D;HX711 Value;604158;raw
18:16:20;hx711:031;D;HX711 Value;604205;raw
18:16:21;hx711:031;D;HX711 Value;604193;raw
18:16:22;hx711:031;D;HX711 Value;604177;raw
18:16:23;hx711:031;D;HX711 Value;604230;raw
18:16:24;hx711:031;D;HX711 Value;604217;raw
18:16:25;hx711:031;D;HX711 Value;604226;raw
18:16:26;hx711:031;D;HX711 Value;604236;raw
18:16:27;hx711:031;D;HX711 Value;604211;raw
18:16:28;hx711:031;D;HX711 Value;604247;raw
18:16:29;hx711:031;D;HX711 Value;604268;raw
18:16:30;hx711:031;D;HX711 Value;604267;raw
18:16:31;hx711:031;D;HX711 Value;604249;raw
18:16:32;hx711:031;D;HX711 Value;604264;raw
18:16:33;hx711:031;D;HX711 Value;604309;raw
18:16:34;hx711:031;D;HX711 Value;604261;raw
18:16:35;hx711:031;D;HX711 Value;604318;raw
